#real_cutoff=2
#reciprocal_cutoff=7
#r0 - r0 : [0.0, 0.0, 0.0, 0.0]
#r0 - r1 : [0.0, 0.0, 0.0, 0.0]
#r0 - r2 : [1.0, 0.0, 0.0, 1.0]
#r0 - r3 : [1.9553522243833719, 1.33555, 1.0930010000000001, -0.91927]
#r0 - r4 : [1.4258563194855927, 1.33555, -0.1651689999999999, -0.471266]
alpha	0x	0y	0z	1x	1y	1z	2x	2y	2z	3x	3y	3z	4x	4y	4z
0.1000000000	0.0265781969	0.0227414061	-0.0680664050	0.0265781969	0.0227414061	-0.0680664050	0.0267327537	0.0222473147	-2.2005614380	0.1046531800	0.0872065140	0.0747549146	0.3214432237	-0.0148275108	0.2234179797
0.2000000000	0.0255510339	0.0219388552	-0.0846892974	0.0255510339	0.0219388552	-0.0846892974	0.0257137937	0.0214511740	-2.2170640643	0.1035606334	0.0863476251	0.0583195220	0.3203840424	-0.0156216312	0.2068815634
0.3000000000	0.0217069756	0.0188812713	-0.1113863499	0.0217069756	0.0188812713	-0.1113863499	0.0219277745	0.0184397710	-2.2433738433	0.0996294993	0.0832010589	0.0321069210	0.3165124602	-0.0186477392	0.1804127268
0.4000000000	0.0154702273	0.0137869481	-0.1373977441	0.0154702273	0.0137869481	-0.1373977441	0.0158125879	0.0134447455	-2.2688812395	0.0934632233	0.0781366449	0.0065706344	0.3103624574	-0.0236996562	0.1546264349
0.5000000000	0.0092823584	0.0085749439	-0.1567811215	0.0092823584	0.0085749439	-0.1567811215	0.0097225652	0.0083145027	-2.2879433359	0.0874482066	0.0730561671	-0.0125437688	0.3043229026	-0.0288814562	0.1353669771
0.6000000000	0.0048135800	0.0047061782	-0.1689717945	0.0048135800	0.0047061782	-0.1689717945	0.0052384552	0.0044306424	-2.3001578160	0.0831045576	0.0692990560	-0.0246224159	0.2999535667	-0.0327359362	0.1232245813
0.7000000000	0.0022265815	0.0024236185	-0.1756485445	0.0022265815	0.0024236185	-0.1756485445	0.0025209599	0.0020310610	-2.3071622620	0.0805678003	0.0670679574	-0.0312629998	0.2974043895	-0.0350138999	0.1165617159
0.8000000000	0.0009655993	0.0013002753	-0.1788405191	0.0009655993	0.0013002753	-0.1788405191	0.0010791043	0.0007452156	-2.3108114003	0.0793210635	0.0659598954	-0.0344487792	0.2961540229	-0.0361369492	0.1133706191
0.9000000000	0.0004376789	0.0008290989	-0.1801629872	0.0004376789	0.0008290989	-0.1801629872	0.0003896004	0.0001284551	-2.3125422635	0.0787984098	0.0654922339	-0.0357758465	0.2956308680	-0.0366096782	0.1120439056
1.0000000000	0.0002468398	0.0006588608	-0.1806421740	0.0002468398	0.0006588608	-0.1806421740	0.0000906894	-0.0001385752	-2.3132800420	0.0786097934	0.0653228590	-0.0362524919	0.2954414060	-0.0367806438	0.1115654121
1.1000000000	0.0001862452	0.0006017579	-0.1808652169	0.0001862452	0.0006017579	-0.1808652169	-0.0000254471	-0.0002405629	-2.3135240148	0.0785402746	0.0652619157	-0.0363924790	0.2953623152	-0.0368292538	0.1113939416
1.2000000000	0.0001650030	0.0005699475	-0.1812963689	0.0001650030	0.0005699475	-0.1812963689	-0.0000633938	-0.0002679251	-2.3134228610	0.0784651708	0.0652010061	-0.0363928218	0.2952393559	-0.0368205601	0.1112334817
1.3000000000	0.0001469184	0.0005214686	-0.1826093443	0.0001469184	0.0005214686	-0.1826093443	-0.0000686600	-0.0002564438	-2.3127988369	0.0782615544	0.0650350666	-0.0362719495	0.2948783117	-0.0367544448	0.1108264815
1.4000000000	0.0001185751	0.0004362133	-0.1858748594	0.0001185751	0.0004362133	-0.1858748594	-0.0000582180	-0.0002171478	-2.3111741842	0.0777567502	0.0646151419	-0.0359475240	0.2939843533	-0.0365974078	0.1098455345
1.5000000000	0.0000776621	0.0003108182	-0.1925289818	0.0000776621	0.0003108182	-0.1925289818	-0.0000386198	-0.0001552183	-2.3078489035	0.0767241455	0.0637438358	-0.0352841928	0.2921704980	-0.0363033784	0.1078931430
1.6000000000	0.0000285011	0.0001563344	-0.2041820452	0.0000285011	0.0001563344	-0.2041820452	-0.0000142135	-0.0000781325	-2.3020227162	0.0749138373	0.0622036682	-0.0341360176	0.2890156258	-0.0358273103	0.1045693833
1.7000000000	-0.0000217367	-0.0000079836	-0.2223895771	-0.0000217367	-0.0000079836	-0.2223895771	0.0000108743	0.0000039986	-2.2929190090	0.0720968793	0.0597983017	-0.0323864994	0.2841344824	-0.0351324925	0.0995538049
1.8000000000	-0.0000665691	-0.0001627267	-0.2484777041	-0.0000665691	-0.0001627267	-0.2484777041	0.0000332855	0.0000813657	-2.2798749544	0.0681051923	0.0563887577	-0.0299778229	0.2772304508	-0.0341930611	0.0926640221
1.9000000000	-0.0001022457	-0.0002942104	-0.2834554207	-0.0001022457	-0.0002942104	-0.2834554207	0.0000511231	0.0001471070	-2.2623860973	0.0628572089	0.0519149599	-0.0269224474	0.2681204608	-0.0329939167	0.0838779082
2.0000000000	-0.0001279665	-0.0003964450	-0.3280034145	-0.0001279665	-0.0003964450	-0.3280034145	0.0000639834	0.0001982242	-2.2401121013	0.0563667056	0.0464008738	-0.0232969254	0.2567356633	-0.0315297713	0.0733239325
2.1000000000	-0.0001449688	-0.0004699615	-0.3825135493	-0.0001449688	-0.0004699615	-0.3825135493	0.0000724846	0.0002349824	-2.2128570398	0.0487370695	0.0399464138	-0.0192234748	0.2431071502	-0.0298040806	0.0612513489
2.2000000000	-0.0001553682	-0.0005192438	-0.4471541387	-0.0001553682	-0.0005192438	-0.4471541387	0.0000776843	0.0002596236	-2.1805367822	0.0401453856	0.0327110792	-0.0148469277	0.2273455240	-0.0278279689	0.0479917800
2.3000000000	-0.0001612944	-0.0005502275	-0.5219426182	-0.0001612944	-0.0005502275	-0.5219426182	0.0000806474	0.0002751154	-2.1431427255	0.0308209688	0.0248940096	-0.0103135952	0.2096202350	-0.0256190667	0.0339205353
2.4000000000	-0.0001644573	-0.0005685804	-0.6068136473	-0.0001644573	-0.0005685804	-0.6068136473	0.0000822288	0.0002842917	-2.1007079522	0.0210222313	0.0167139504	-0.0057559017	0.1901416893	-0.0232002448	0.0194225413
2.5000000000	-0.0001660448	-0.0005788591	-0.7016757090	-0.0001660448	-0.0005788591	-0.7016757090	0.0000830225	0.0002894308	-2.0532794569	0.0110147426	0.0083913221	-0.0012838532	0.1691470733	-0.0205983191	0.0048651529
2.6000000000	-0.0001667963	-0.0005843169	-0.8064530987	-0.0001667963	-0.0005843169	-0.8064530987	0.0000833982	0.0002921593	-2.0008982790	0.0010523683	0.0001335502	0.0030175841	0.1468896666	-0.0178428263	-0.0094215491
2.7000000000	-0.0001671326	-0.0005870706	-0.9211130521	-0.0001671326	-0.0005870706	-0.9211130521	0.0000835663	0.0002935357	-1.9435880259	-0.0086374287	-0.0078758781	0.0070870560	0.1236309023	-0.0149649430	-0.0231573405
2.8000000000	-0.0001672753	-0.0005883930	-1.0456797429	-0.0001672753	-0.0005883930	-1.0456797429	0.0000836376	0.0002941965	-1.8813512783	-0.0178636965	-0.0154846090	0.0108832947	0.0996343261	-0.0119965730	-0.0361182027
2.9000000000	-0.0001673326	-0.0005889983	-1.1802380039	-0.0001673326	-0.0005889983	-1.1802380039	0.0000836662	0.0002944987	-1.8141727019	-0.0264775931	-0.0225751293	0.0143810226	0.0751607287	-0.0089695854	-0.0481375890
