#real_cutoff=2
#reciprocal_cutoff=8
#r0 - r0 : [0.0, 0.0, 0.0, 0.0]
#r0 - r1 : [0.0, 0.0, 0.0, 0.0]
#r0 - r2 : [1.0, 0.0, 0.0, 1.0]
#r0 - r3 : [1.9553522243833723, 1.3355500000000005, 1.0930010000000001, -0.91927]
#r0 - r4 : [1.4258563194855929, 1.3355500000000005, -0.16516899999999968, -0.471266]
alpha	0x	0y	0z	1x	1y	1z	2x	2y	2z	3x	3y	3z	4x	4y	4z
0.1000000000	0.0020921613	0.0017901398	-0.0053579969	0.0020921613	0.0017901398	-0.0053579969	0.0020931316	0.0017784234	-2.0068283810	0.1294068246	0.1060397140	0.0408997356	0.3216985491	-0.0377587881	0.2275143462
0.2000000000	0.0020113059	0.0017269653	-0.0066665045	0.0020113059	0.0017269653	-0.0066665045	0.0020123950	0.0017153417	-2.0081351467	0.1293250167	0.1059757186	0.0395939512	0.3216172290	-0.0378218404	0.2262070916
0.3000000000	0.0017087124	0.0014862808	-0.0087680217	0.0017087124	0.0014862808	-0.0087680217	0.0017106434	0.0014753272	-2.0102310467	0.1290211507	0.1057337322	0.0374994825	0.3213142384	-0.0380620688	0.2241088820
0.4000000000	0.0012177730	0.0010852700	-0.0108155659	0.0012177730	0.0010852700	-0.0108155659	0.0012214668	0.0010757562	-2.0122712809	0.1285312653	0.1053331735	0.0354588271	0.3208245817	-0.0384624694	0.2220645862
0.5000000000	0.0007306813	0.0006749956	-0.0123413711	0.0007306813	0.0006749956	-0.0123413711	0.0007357803	0.0006666556	-2.0137924636	0.1280467320	0.1049248492	0.0339368789	0.3203396700	-0.0388723153	0.2205405469
0.6000000000	0.0003789115	0.0003704572	-0.0133009867	0.0003789115	0.0003704572	-0.0133009867	0.0003837443	0.0003618596	-2.0147525374	0.1276967853	0.1046219462	0.0329788375	0.3199893407	-0.0391766558	0.2195816028
0.7000000000	0.0001752703	0.0001907805	-0.0138265618	0.0001752703	0.0001907805	-0.0138265618	0.0001781447	0.0001804273	-2.0152830315	0.1274938540	0.1044430047	0.0324537505	0.3197862317	-0.0393562722	0.2190562105
0.8000000000	0.0000760093	0.0001023540	-0.0140778251	0.0000760093	0.0001023540	-0.0140778251	0.0000762088	0.0000895982	-2.0155410537	0.1273947929	0.1043547879	0.0322025471	0.3196871222	-0.0394447006	0.2188049420
0.9000000000	0.0000344529	0.0000652643	-0.0141819261	0.0000344529	0.0000652643	-0.0141819261	0.0000323018	0.0000503927	-2.0156510825	0.1273533231	0.1043177452	0.0320983445	0.3196456491	-0.0394818224	0.2187007532
1.0000000000	0.0000194305	0.0000518637	-0.0142196463	0.0000194305	0.0000518637	-0.0142196463	0.0000157472	0.0000356273	-2.0156923748	0.1273383176	0.1043043340	0.0320607258	0.3196306526	-0.0394952376	0.2186630461
