#real_cutoff=5
#reciprocal_cutoff=3
#r0 - r0 : [0.0, 0.0, 0.0, 0.0]
#r0 - r1 : [0.0, 0.0, 0.0, 0.0]
#r0 - r2 : [1.0000000000000002, 0.0, 0.0, 1.0000000000000002]
#r0 - r3 : [1.955352224383371, 1.3355499999999996, 1.0930009999999992, -0.9192699999999996]
#r0 - r4 : [1.4258563194855922, 1.3355499999999996, -0.16516900000000057, -0.471266]
alpha	0x	0y	0z	1x	1y	1z	2x	2y	2z	3x	3y	3z	4x	4y	4z
0.1000000000	0.0006740596	0.0005811706	-0.0024283393	0.0006740596	0.0005811706	-0.0024283393	0.0006734156	0.0005783515	-2.0026689764	0.1292501512	0.1058170134	0.0428245335	0.3209171982	-0.0390273713	0.2296477015
0.2000000000	0.0003523740	0.0003182475	-0.0039221464	0.0003523740	0.0003182475	-0.0039221464	0.0003518393	0.0003155178	-2.0041622912	0.1289284965	0.1055540916	0.0413312292	0.3205955711	-0.0392902525	0.2281541315
0.3000000000	0.0000919920	0.0000937978	-0.0046595149	0.0000919920	0.0000937978	-0.0046595149	0.0000914495	0.0000910591	-2.0048996546	0.1286682470	0.1053297555	0.0405940069	0.3203352951	-0.0395146842	0.2274168281
0.4000000000	0.0000173047	0.0000273760	-0.0048499104	0.0000173047	0.0000273760	-0.0048499104	0.0000165836	0.0000244775	-2.0050905003	0.1285935771	0.1052633529	0.0404036242	0.3202606203	-0.0395811044	0.2272264373
0.5000000000	0.0000056476	0.0000169276	-0.0048792985	0.0000056476	0.0000169276	-0.0048792985	0.0000048174	0.0000139311	-2.0051201637	0.1285819204	0.1052529051	0.0403742364	0.3202489635	-0.0395915527	0.2271970493
0.6000000000	0.0000045776	0.0000159677	-0.0048819944	0.0000045776	0.0000159677	-0.0048819944	0.0000037210	0.0000129475	-2.0051229261	0.1285808505	0.1052519452	0.0403715405	0.3202478935	-0.0395925126	0.2271943534
0.7000000000	0.0000045207	0.0000159165	-0.0048821380	0.0000045207	0.0000159165	-0.0048821380	0.0000036610	0.0000128937	-2.0051230773	0.1285807935	0.1052518941	0.0403713969	0.3202478366	-0.0395925638	0.2271942098
0.8000000000	0.0000045189	0.0000159150	-0.0048821426	0.0000045189	0.0000159150	-0.0048821426	0.0000036591	0.0000128920	-2.0051230823	0.1285807917	0.1052518925	0.0403713923	0.3202478348	-0.0395925653	0.2271942052
0.9000000000	0.0000045187	0.0000159137	-0.0048821567	0.0000045187	0.0000159137	-0.0048821567	0.0000036589	0.0000128909	-2.0051230937	0.1285807911	0.1052518910	0.0403713807	0.3202478341	-0.0395925663	0.2271941924
1.0000000000	0.0000045144	0.0000158946	-0.0048824170	0.0000045144	0.0000158946	-0.0048824170	0.0000036554	0.0000128755	-2.0051233043	0.1285807775	0.1052518662	0.0403711677	0.3202478214	-0.0395925805	0.2271939551
1.1000000000	0.0000044800	0.0000157673	-0.0048846062	0.0000044800	0.0000157673	-0.0048846062	0.0000036276	0.0000127725	-2.0051250755	0.1285806552	0.1052516747	0.0403693962	0.3202477151	-0.0395926731	0.2271919581
1.2000000000	0.0000043343	0.0000152835	-0.0048952637	0.0000043343	0.0000152835	-0.0048952637	0.0000035097	0.0000123811	-2.0051336976	0.1285800361	0.1052508125	0.0403608631	0.3202472153	-0.0395930146	0.2271822394
1.3000000000	0.0000039439	0.0000140598	-0.0049304995	0.0000039439	0.0000140598	-0.0049304995	0.0000031938	0.0000113911	-2.0051622039	0.1285779384	0.1052481520	0.0403329217	0.3202456359	-0.0395938414	0.2271501287
1.4000000000	0.0000031978	0.0000117745	-0.0050186285	0.0000031978	0.0000117745	-0.0050186285	0.0000025902	0.0000095423	-2.0052335018	0.1285725838	0.1052418737	0.0402636513	0.3202418570	-0.0395952822	0.2270699050
1.5000000000	0.0000020964	0.0000083916	-0.0051982835	0.0000020964	0.0000083916	-0.0051982835	0.0000016991	0.0000068054	-2.0053788452	0.1285614011	0.1052296382	0.0401236018	0.3202344111	-0.0395971786	0.2269066362
1.6000000000	0.0000007695	0.0000042210	-0.0055129153	0.0000007695	0.0000042210	-0.0055129153	0.0000006257	0.0000034312	-2.0056333841	0.1285411581	0.1052088225	0.0398802955	0.3202215852	-0.0395990477	0.2266213715
1.7000000000	-0.0000005869	-0.0000002156	-0.0060045186	-0.0000005869	-0.0000002156	-0.0060045186	-0.0000004717	-0.0000001582	-2.0060310774	0.1285080919	0.1051766423	0.0395032414	0.3202014484	-0.0396002034	0.2261770551
1.8000000000	-0.0000017974	-0.0000043936	-0.0067088980	-0.0000017974	-0.0000043936	-0.0067088980	-0.0000014512	-0.0000035388	-2.0066008327	0.1284580052	0.1051301381	0.0389676806	0.3201718241	-0.0395999359	0.2255429863
1.9000000000	-0.0000027606	-0.0000079437	-0.0076532964	-0.0000027606	-0.0000079437	-0.0076532964	-0.0000022309	-0.0000064121	-2.0073645123	0.1283863660	0.1050661132	0.0382564455	0.3201302747	-0.0395976435	0.2246970292
2.0000000000	-0.0000034551	-0.0000107040	-0.0088560922	-0.0000034551	-0.0000107040	-0.0088560922	-0.0000027933	-0.0000086475	-2.0083365489	0.1282884454	0.1049811193	0.0373601794	0.3200741400	-0.0395928779	0.2236258393
2.1000000000	-0.0000039143	-0.0000126890	-0.0103278658	-0.0000039143	-0.0000126890	-0.0103278658	-0.0000031656	-0.0000102566	-2.0095246003	0.1281594802	0.1048715182	0.0362764853	0.3200006189	-0.0395853214	0.2223237865
2.2000000000	-0.0000041958	-0.0000140196	-0.0120731613	-0.0000041958	-0.0000140196	-0.0120731613	-0.0000033943	-0.0000113373	-2.0109307164	0.1279948186	0.1047335917	0.0350085492	0.3199068593	-0.0395747343	0.2207912374
2.3000000000	-0.0000043586	-0.0000148562	-0.0140924488	-0.0000043586	-0.0000148562	-0.0140924488	-0.0000035267	-0.0000120187	-2.0125526605	0.1277900135	0.1045636532	0.0335636323	0.3197900236	-0.0395609051	0.2190326881
2.4000000000	-0.0000044533	-0.0000153522	-0.0163839616	-0.0000044533	-0.0000153522	-0.0163839616	-0.0000036034	-0.0000124243	-2.0143851721	0.1275408499	0.1043581219	0.0319516736	0.3196473139	-0.0395436158	0.2170550543
2.5000000000	-0.0000045231	-0.0000156319	-0.0189452220	-0.0000045231	-0.0000156319	-0.0189452220	-0.0000036581	-0.0000126541	-2.0164210603	0.1272433173	0.1041135495	0.0301841235	0.3194759607	-0.0395226250	0.2148662800
2.6000000000	-0.0000046121	-0.0000157870	-0.0217741704	-0.0000046121	-0.0000157870	-0.0217741704	-0.0000037236	-0.0000127814	-2.0186520784	0.1268935510	0.1038266065	0.0282730521	0.3192731891	-0.0394976634	0.2124743262
2.7000000000	-0.0000047793	-0.0000158840	-0.0248698897	-0.0000047793	-0.0000158840	-0.0248698897	-0.0000038411	-0.0000128584	-2.0210695701	0.1264877670	0.1034940451	0.0262305259	0.3190361775	-0.0394684383	0.2098865272
2.8000000000	-0.0000051156	-0.0000159776	-0.0282329705	-0.0000051156	-0.0000159776	-0.0282329705	-0.0000040711	-0.0000129259	-2.0236649019	0.1260222102	0.1031126593	0.0240682153	0.3187620245	-0.0394346416	0.2071092617
2.9000000000	-0.0000057639	-0.0000161263	-0.0318655943	-0.0000057639	-0.0000161263	-0.0318655943	-0.0000045052	-0.0000130236	-2.0264297094	0.1254931264	0.1026792558	0.0217971878	0.3184477282	-0.0393959625	0.2041478642
3.0000000000	-0.0000069403	-0.0000164094	-0.0357714204	-0.0000069403	-0.0000164094	-0.0357714204	-0.0000052775	-0.0000132013	-2.0293559970	0.1248967595	0.1021906420	0.0194278337	0.3180901836	-0.0393521018	0.2010066995
3.1000000000	-0.0000089567	-0.0000169449	-0.0399553573	-0.0000089567	-0.0000169449	-0.0399553573	-0.0000065749	-0.0000135288	-2.0324361279	0.1242293730	0.1016436348	0.0169698812	0.3176861940	-0.0393027886	0.1976893304
3.2000000000	-0.0000122407	-0.0000179072	-0.0444232828	-0.0000122407	-0.0000179072	-0.0444232828	-0.0000086453	-0.0000141053	-2.0356627423	0.1234872874	0.1010350843	0.0144324600	0.3172324941	-0.0392477968	0.1941987244
3.3000000000	-0.0000173541	-0.0000195453	-0.0491817617	-0.0000173541	-0.0000195453	-0.0491817617	-0.0000118020	-0.0000150670	-2.0390286355	0.1226669284	0.1003619105	0.0118241855	0.3167257795	-0.0391869624	0.1905374619
3.4000000000	-0.0000250069	-0.0000221997	-0.0542377861	-0.0000250069	-0.0000221997	-0.0542377861	-0.0000164253	-0.0000165937	-2.0425266214	0.1217648786	0.0996211456	0.0091532448	0.3161627386	-0.0391201980	0.1867079224
