#real_cutoff=2
#reciprocal_cutoff=10
#r0 - r0 : [0.0, 0.0, 0.0, 0.0]
#r0 - r1 : [0.0, 0.0, 0.0, 0.0]
#r0 - r2 : [1.0000000000000002, 0.0, 0.0, 1.0000000000000002]
#r0 - r3 : [1.955352224383371, 1.3355499999999996, 1.0930009999999992, -0.9192699999999996]
#r0 - r4 : [1.4258563194855922, 1.3355499999999996, -0.16516900000000057, -0.471266]
alpha	0x	0y	0z	1x	1y	1z	2x	2y	2z	3x	3y	3z	4x	4y	4z
0.1000000000	0.0007176113	0.0006140180	-0.0018377929	0.0007176113	0.0006140180	-0.0018377929	0.0007177465	0.0006119489	-2.0020777783	0.1292931536	0.1058495001	0.0434120239	0.3209600911	-0.0389947535	0.2302368680
0.2000000000	0.0006898779	0.0005923491	-0.0022866110	0.0006898779	0.0005923491	-0.0022866110	0.0006900331	0.0005902956	-2.0025263036	0.1292652600	0.1058276931	0.0429636638	0.3209322795	-0.0390164018	0.2297882605
0.3000000000	0.0005860883	0.0005097943	-0.0030074314	0.0005860883	0.0005097943	-0.0030074314	0.0005863851	0.0005078535	-2.0032461795	0.1291612563	0.1057449193	0.0422440289	0.3208284233	-0.0390988799	0.2290679961
0.4000000000	0.0004176961	0.0003722476	-0.0037097391	0.0004176961	0.0003722476	-0.0037097391	0.0004182893	0.0003705488	-2.0039472581	0.1289930419	0.1056074489	0.0415428794	0.3206602472	-0.0392363242	0.2283662343
0.5000000000	0.0002506237	0.0002315235	-0.0042330903	0.0002506237	0.0002315235	-0.0042330903	0.0002514528	0.0002300218	-2.0044698329	0.1288264006	0.1054670535	0.0410201758	0.3204935418	-0.0393769764	0.2278431794
0.6000000000	0.0001299667	0.0001270668	-0.0045622385	0.0001299667	0.0001270668	-0.0045622385	0.0001307501	0.0001255211	-2.0047990603	0.1287060502	0.1053628721	0.0406912913	0.3203731269	-0.0394814000	0.2275141436
0.7000000000	0.0000601177	0.0000654377	-0.0047425107	0.0000601177	0.0000654377	-0.0047425107	0.0000605707	0.0000635957	-2.0049801628	0.1286363203	0.1053013663	0.0405111004	0.3203033671	-0.0395430191	0.2273339017
0.8000000000	0.0000260712	0.0000351074	-0.0048286940	0.0000260712	0.0000351074	-0.0048286940	0.0000260734	0.0000328606	-2.0050674849	0.1286023073	0.1052710711	0.0404249266	0.3202693461	-0.0395733498	0.2272477172
0.9000000000	0.0000118173	0.0000223857	-0.0048644007	0.0000118173	0.0000223857	-0.0048644007	0.0000114243	0.0000197830	-2.0051041882	0.1285880682	0.1052583571	0.0403892021	0.3202551065	-0.0395860772	0.2272119952
1.0000000000	0.0000066647	0.0000177892	-0.0048773387	0.0000066647	0.0000177892	-0.0048773387	0.0000060147	0.0000149579	-2.0051177231	0.1285829177	0.1052537581	0.0403762832	0.3202499583	-0.0395906761	0.2271990594
1.1000000000	0.0000050286	0.0000162475	-0.0048833609	0.0000050286	0.0000162475	-0.0048833609	0.0000042539	0.0000133223	-2.0051236496	0.1285812005	0.1052521539	0.0403706578	0.3202482586	-0.0395921887	0.2271932146
1.2000000000	0.0000044551	0.0000153886	-0.0048950020	0.0000044551	0.0000153886	-0.0048950020	0.0000036546	0.0000125077	-2.0051333823	0.1285801561	0.1052509175	0.0403611304	0.3202473346	-0.0395929082	0.2271825048
1.3000000000	0.0000039668	0.0000140797	-0.0049304523	0.0000039668	0.0000140797	-0.0049304523	0.0000032230	0.0000114165	-2.0051621435	0.1285779612	0.1052481719	0.0403329705	0.3202456585	-0.0395938212	0.2271501769
1.4000000000	0.0000032015	0.0000117778	-0.0050186212	0.0000032015	0.0000117778	-0.0050186212	0.0000025953	0.0000095467	-2.0052334917	0.1285725875	0.1052418769	0.0402636589	0.3202418606	-0.0395952789	0.2270699125
1.5000000000	0.0000020969	0.0000083921	-0.0051982825	0.0000020969	0.0000083921	-0.0051982825	0.0000016999	0.0000068061	-2.0053788438	0.1285614017	0.1052296387	0.0401236028	0.3202344116	-0.0395971782	0.2269066372
1.6000000000	0.0000007695	0.0000042210	-0.0055129152	0.0000007695	0.0000042210	-0.0055129152	0.0000006258	0.0000034313	-2.0056333839	0.1285411582	0.1052088226	0.0398802956	0.3202215852	-0.0395990476	0.2266213716
1.7000000000	-0.0000005869	-0.0000002156	-0.0060045186	-0.0000005869	-0.0000002156	-0.0060045186	-0.0000004717	-0.0000001582	-2.0060310774	0.1285080919	0.1051766423	0.0395032414	0.3202014484	-0.0396002034	0.2261770552
1.8000000000	-0.0000017974	-0.0000043936	-0.0067088980	-0.0000017974	-0.0000043936	-0.0067088980	-0.0000014512	-0.0000035388	-2.0066008327	0.1284580052	0.1051301381	0.0389676806	0.3201718241	-0.0395999359	0.2255429863
1.9000000000	-0.0000027606	-0.0000079437	-0.0076532964	-0.0000027606	-0.0000079437	-0.0076532964	-0.0000022309	-0.0000064121	-2.0073645123	0.1283863660	0.1050661132	0.0382564455	0.3201302747	-0.0395976435	0.2246970292
2.0000000000	-0.0000034551	-0.0000107040	-0.0088560922	-0.0000034551	-0.0000107040	-0.0088560922	-0.0000027933	-0.0000086475	-2.0083365489	0.1282884454	0.1049811193	0.0373601794	0.3200741400	-0.0395928779	0.2236258393
2.1000000000	-0.0000039142	-0.0000126890	-0.0103278658	-0.0000039142	-0.0000126890	-0.0103278658	-0.0000031655	-0.0000102566	-2.0095246004	0.1281594801	0.1048715182	0.0362764854	0.3200006187	-0.0395853214	0.2223237866
2.2000000000	-0.0000041949	-0.0000140196	-0.0120731617	-0.0000041949	-0.0000140196	-0.0120731617	-0.0000033936	-0.0000113373	-2.0109307167	0.1279948179	0.1047335917	0.0350085495	0.3199068586	-0.0395747341	0.2207912377
2.3000000000	-0.0000043549	-0.0000148561	-0.0140924507	-0.0000043549	-0.0000148561	-0.0140924507	-0.0000035240	-0.0000120186	-2.0125526618	0.1277900106	0.1045636531	0.0335636338	0.3197900206	-0.0395609043	0.2190326892
2.4000000000	-0.0000044403	-0.0000153517	-0.0163839685	-0.0000044403	-0.0000153517	-0.0163839685	-0.0000035938	-0.0000124239	-2.0143851767	0.1275408396	0.1043581210	0.0319516791	0.3196473034	-0.0395436126	0.2170550582
2.5000000000	-0.0000044832	-0.0000156292	-0.0189452441	-0.0000044832	-0.0000156292	-0.0189452441	-0.0000036291	-0.0000126523	-2.0164210746	0.1272432859	0.1041135459	0.0301841410	0.3194759284	-0.0395226141	0.2148662920
2.6000000000	-0.0000045035	-0.0000157766	-0.0217742337	-0.0000045035	-0.0000157766	-0.0217742337	-0.0000036460	-0.0000127745	-2.0186521180	0.1268934655	0.1038265940	0.0282731019	0.3192731010	-0.0394976315	0.2124743587
2.7000000000	-0.0000045126	-0.0000158509	-0.0248700524	-0.0000045126	-0.0000158509	-0.0248700524	-0.0000036536	-0.0000128368	-2.0210696692	0.1264875572	0.1034940081	0.0262306537	0.3190359610	-0.0394683539	0.2098866064
2.8000000000	-0.0000045164	-0.0000158866	-0.0282333531	-0.0000045164	-0.0000158866	-0.0282333531	-0.0000036569	-0.0000128671	-2.0236651281	0.1260217390	0.1031125628	0.0240685149	0.3187615375	-0.0394344389	0.2071094380
2.9000000000	-0.0000045180	-0.0000159030	-0.0318664261	-0.0000045180	-0.0000159030	-0.0318664261	-0.0000036582	-0.0000128812	-2.0264301871	0.1254921467	0.1026790276	0.0217978365	0.3184467142	-0.0393955147	0.2041482275
3.0000000000	-0.0000045186	-0.0000159101	-0.0357731093	-0.0000045186	-0.0000159101	-0.0357731093	-0.0000036587	-0.0000128875	-2.0293569387	0.1248948555	0.1021901467	0.0194291446	0.3180882093	-0.0393511824	0.2010073993
3.1000000000	-0.0000045188	-0.0000159131	-0.0399585864	-0.0000045188	-0.0000159131	-0.0399585864	-0.0000036589	-0.0000128902	-2.0324378746	0.1242258844	0.1016426356	0.0169723744	0.3176825691	-0.0393010182	0.1976906018
3.2000000000	-0.0000045189	-0.0000159143	-0.0444291398	-0.0000045189	-0.0000159143	-0.0444291398	-0.0000036590	-0.0000128913	-2.0356658121	0.1234812184	0.1010331929	0.0144369552	0.3172261726	-0.0392445758	0.1942009197
3.3000000000	-0.0000045189	-0.0000159147	-0.0491919018	-0.0000045189	-0.0000159147	-0.0491919018	-0.0000036590	-0.0000128917	-2.0390337773	0.1226568423	0.1003585245	0.0118319171	0.3167152443	-0.0391813889	0.1905410866
3.4000000000	-0.0000045189	-0.0000159149	-0.0542546338	-0.0000045189	-0.0000159149	-0.0542546338	-0.0000036590	-0.0000128918	-2.0425348701	0.1217487825	0.0996153741	0.0091659978	0.3161458717	-0.0391109741	0.1867136759
3.5000000000	-0.0000045189	-0.0000159149	-0.0596255424	-0.0000045189	-0.0000159149	-0.0596255424	-0.0000036590	-0.0000128919	-2.0461621293	0.1207531507	0.0988005575	0.0064477367	0.3155140252	-0.0390328329	0.1827212571
3.6000000000	-0.0000045189	-0.0000159150	-0.0653131389	-0.0000045189	-0.0000159150	-0.0653131389	-0.0000036590	-0.0000128919	-2.0499084076	0.1196661885	0.0979109977	0.0036855481	0.3148155789	-0.0389464553	0.1785665172
3.7000000000	-0.0000045189	-0.0000159150	-0.0713261351	-0.0000045189	-0.0000159150	-0.0713261351	-0.0000036590	-0.0000128919	-2.0537662659	0.1184843093	0.0969437592	0.0008877724	0.3140463315	-0.0388513216	0.1742523471
3.8000000000	-0.0000045189	-0.0000159150	-0.0776733707	-0.0000045189	-0.0000159150	-0.0776733707	-0.0000036590	-0.0000128919	-2.0577278868	0.1172041380	0.0958960795	-0.0019372951	0.3132020254	-0.0387469053	0.1697819012
3.9000000000	-0.0000045189	-0.0000159150	-0.0843637644	-0.0000045189	-0.0000159150	-0.0843637644	-0.0000036590	-0.0000128919	-2.0617850096	0.1158225462	0.0947653983	-0.0047813933	0.3122783668	-0.0386326753	0.1651586323
4.0000000000	-0.0000045189	-0.0000159150	-0.0914062823	-0.0000045189	-0.0000159150	-0.0914062823	-0.0000036590	-0.0000128919	-2.0659288834	0.1143366849	0.0935493840	-0.0076363018	0.3112710433	-0.0385080985	0.1603863116
